Facility Name,Facility ID,Address,City,State,ZIP Code,County Name,Phone Number,Hospital Type,Hospital Ownership,Emergency Services,Hospital overall rating,Meets criteria for meaningful use of EHRs,Mortality national comparison,Safety of care national comparison,Readmission national comparison,Patient experience national comparison,Effectiveness of care national comparison,Timeliness of care national comparison
Lawrence County Hospital,KS00086,474 First St,Lawrence,KS,85785,Lawrence County,(461) 651-5679,Children's Hospital,Government - State,No,4,Yes,Below the national average,Below the national average,Above the national average,Above the national average,Above the national average,Below the national average
Kansas Memorial Hospital,KS00087,2256 First Way,Kansas City,KS,20182,Kansas City County,(723) 504-6404,Rehabilitation Hospital,Voluntary non-profit - Other,No,5,No,Above the national average,Below the national average,Same as the national average,Same as the national average,Above the national average,Above the national average
Kansas Memorial Hospital,KS00088,5187 Broadway Blvd,Overland Park,KS,40808,Overland Park County,(907) 499-9220,Acute Care Hospital,Voluntary non-profit - Other,Yes,3,No,Same as the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Below the national average
Kansas General Hospital,KS00089,6334 Park Way,Lawrence,KS,59069,Lawrence County,(280) 216-2721,Rehabilitation Hospital,Proprietary,No,4,Yes,Same as the national average,Same as the national average,Same as the national average,Above the national average,Below the national average,Below the national average
General Sandra Medical Center,KS00090,7072 Hospital Dr,Topeka,KS,79579,Topeka County,(583) 516-6081,Psychiatric Hospital,Government - State,Yes,5,Yes,Same as the national average,Same as the national average,Above the national average,Above the national average,Below the national average,Below the national average
Overland Park County Hospital,KS00091,7093 Church St,Overland Park,KS,78862,Overland Park County,(770) 857-6175,Long-Term Care Hospital,Voluntary non-profit - Private,Yes,3,Yes,Same as the national average,Same as the national average,Above the national average,Same as the national average,Below the national average,Above the national average
Kansas Community Hospital,KS00092,1150 Oak Ave,Olathe,KS,93162,Olathe County,(321) 922-3217,Critical Access Hospital,Voluntary non-profit - Other,Yes,4,No,Above the national average,Same as the national average,Above the national average,Above the national average,Below the national average,Same as the national average
General Betty City Hospital,KS00093,1075 Main Dr,Shawnee,KS,67608,Shawnee County,(556) 460-6802,Critical Access Hospital,Voluntary non-profit - Private,No,5,Yes,Above the national average,Above the national average,Above the national average,Same as the national average,Above the national average,Below the national average
Kansas Children's Hospital,KS00094,4558 Maple Way,Overland Park,KS,72385,Overland Park County,(674) 288-2105,Critical Access Hospital,Government - Federal,Yes,4,No,Same as the national average,Below the national average,Above the national average,Above the national average,Below the national average,Same as the national average
General Robert County Hospital,KS00095,5129 Healthcare Dr,Overland Park,KS,86879,Overland Park County,(375) 459-8395,Long-Term Care Hospital,Government - State,No,3,No,Above the national average,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average
Kansas Clinic,KS00096,4633 Main St,Topeka,KS,90972,Topeka County,(528) 828-7810,Acute Care Hospital,Voluntary non-profit - Private,Yes,1,Yes,Above the national average,Above the national average,Above the national average,Above the national average,Above the national average,Same as the national average
Kansas Community Hospital,KS00097,1073 First Blvd,Kansas City,KS,18643,Kansas City County,(244) 862-9912,Rehabilitation Hospital,Government - Local,Yes,Not Available,Yes,Below the national average,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average
St. Robert Regional Medical Center,KS00098,8629 Broadway St,Lawrence,KS,77479,Lawrence County,(497) 879-8272,Acute Care Hospital,Proprietary,Yes,4,Yes,Below the national average,Same as the national average,Above the national average,Below the national average,Above the national average,Above the national average
Shawnee County Hospital,KS00099,2704 University Blvd,Shawnee,KS,13457,Shawnee County,(438) 965-2911,Psychiatric Hospital,Government - Local,Yes,3,Yes,Above the national average,Same as the national average,Same as the national average,Above the national average,Below the national average,Below the national average
General Barbara Health System,KS00100,6178 Maple Blvd,Olathe,KS,42598,Olathe County,(590) 295-4427,Children's Hospital,Government - Federal,Yes,1,Yes,Above the national average,Below the national average,Below the national average,Above the national average,Same as the national average,Below the national average
Kansas Medical Center,KS00101,5339 University Blvd,Manhattan,KS,83754,Manhattan County,(391) 487-4148,Psychiatric Hospital,Voluntary non-profit - Private,Yes,5,No,Above the national average,Below the national average,Above the national average,Same as the national average,Above the national average,Above the national average
Kansas City Hospital,KS00102,3266 Park Ave,Lawrence,KS,94253,Lawrence County,(266) 775-6429,Critical Access Hospital,Voluntary non-profit - Church,Yes,1,No,Below the national average,Above the national average,Same as the national average,Same as the national average,Below the national average,Below the national average
Kansas Memorial Hospital,KS00103,4218 Market Blvd,Olathe,KS,34127,Olathe County,(967) 590-7770,Acute Care Hospital,Voluntary non-profit - Private,No,4,No,Same as the national average,Below the national average,Above the national average,Above the national average,Same as the national average,Same as the national average
Memorial Daniel Health Center,KS00104,495 Maple Dr,Kansas City,KS,61588,Kansas City County,(247) 339-5908,Psychiatric Hospital,Voluntary non-profit - Private,No,5,Yes,Above the national average,Above the national average,Same as the national average,Same as the national average,Below the national average,Below the national average
Lawrence Medical Center,KS00105,5517 Maple Dr,Lawrence,KS,16030,Lawrence County,(336) 759-1184,Acute Care Hospital,Voluntary non-profit - Other,No,3,Yes,Above the national average,Above the national average,Same as the national average,Above the national average,Below the national average,Below the national average
Salina General Hospital,KS00106,9446 Church Dr,Salina,KS,81808,Salina County,(514) 972-1606,Long-Term Care Hospital,Government - State,Yes,3,Yes,Same as the national average,Below the national average,Same as the national average,Below the national average,Above the national average,Above the national average
Kansas University Hospital,KS00107,203 First Way,Manhattan,KS,30326,Manhattan County,(241) 242-7018,Children's Hospital,Voluntary non-profit - Church,No,2,No,Below the national average,Below the national average,Above the national average,Below the national average,Below the national average,Below the national average
Kansas Clinic,KS00108,7254 Hospital Blvd,Wichita,KS,95200,Wichita County,(960) 529-2464,Acute Care Hospital,Voluntary non-profit - Other,No,3,No,Below the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average
Kansas General Hospital,KS00109,8364 Lincoln Ave,Wichita,KS,92499,Wichita County,(604) 739-2470,Critical Access Hospital,Government - Federal,Yes,3,Yes,Above the national average,Same as the national average,Below the national average,Above the national average,Below the national average,Above the national average
Manhattan Healthcare,KS00110,3135 Hospital Blvd,Manhattan,KS,25478,Manhattan County,(390) 498-6573,Acute Care Hospital,Government - Federal,Yes,5,No,Same as the national average,Above the national average,Below the national average,Above the national average,Same as the national average,Above the national average
Kansas Clinic,KS00111,9314 Maple Dr,Topeka,KS,24659,Topeka County,(543) 650-8142,Critical Access Hospital,Proprietary,Yes,3,No,Below the national average,Same as the national average,Same as the national average,Same as the national average,Below the national average,Below the national average
Regional Jessica County Hospital,KS00112,5252 Second St,Olathe,KS,39636,Olathe County,(476) 252-3939,Acute Care Hospital,Voluntary non-profit - Church,Yes,1,Yes,Below the national average,Above the national average,Same as the national average,Same as the national average,Above the national average,Below the national average
Kansas Memorial Hospital,KS00113,9616 Healthcare Blvd,Olathe,KS,40940,Olathe County,(604) 858-3077,Children's Hospital,Government - Local,Yes,3,Yes,Above the national average,Same as the national average,Below the national average,Below the national average,Above the national average,Above the national average
Wichita Regional Hospital,KS00114,4741 Hospital Ave,Wichita,KS,13731,Wichita County,(257) 796-3519,Psychiatric Hospital,Voluntary non-profit - Other,Yes,4,No,Same as the national average,Above the national average,Same as the national average,Below the national average,Same as the national average,Above the national average
Kansas Medical Center,KS00115,1427 Church Blvd,Olathe,KS,64351,Olathe County,(869) 511-1713,Critical Access Hospital,Voluntary non-profit - Private,Yes,4,No,Below the national average,Below the national average,Above the national average,Above the national average,Above the national average,Below the national average
Kansas Regional Hospital,KS00116,2501 Broadway Blvd,Lenexa,KS,15767,Lenexa County,(399) 635-9791,Critical Access Hospital,Voluntary non-profit - Other,Yes,2,Yes,Below the national average,Above the national average,Same as the national average,Below the national average,Below the national average,Below the national average
General Thomas Regional Medical Center,KS00117,9591 Main Way,Overland Park,KS,98650,Overland Park County,(310) 257-6819,Rehabilitation Hospital,Government - Federal,No,3,No,Same as the national average,Below the national average,Below the national average,Below the national average,Above the national average,Below the national average
Kansas Memorial Hospital,KS00118,5796 Lincoln Dr,Wichita,KS,79227,Wichita County,(841) 450-3661,Children's Hospital,Voluntary non-profit - Private,Yes,3,Yes,Below the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average
Kansas Clinic,KS00119,7939 Healthcare Way,Lenexa,KS,38621,Lenexa County,(885) 496-2440,Critical Access Hospital,Proprietary,No,5,No,Below the national average,Above the national average,Same as the national average,Same as the national average,Below the national average,Below the national average
Kansas City Hospital,KS00120,8103 Main Blvd,Manhattan,KS,53035,Manhattan County,(293) 745-7268,Acute Care Hospital,Voluntary non-profit - Other,No,2,Yes,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Above the national average
Regional George Health Center,KS00121,494 Second Ave,Lenexa,KS,30411,Lenexa County,(215) 786-2596,Psychiatric Hospital,Voluntary non-profit - Other,No,Not Available,Yes,Same as the national average,Above the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average
Kansas City Hospital,KS00122,4797 Washington St,Salina,KS,30474,Salina County,(782) 917-4001,Acute Care Hospital,Voluntary non-profit - Private,Yes,4,Yes,Same as the national average,Below the national average,Same as the national average,Same as the national average,Above the national average,Above the national average
Kansas Community Hospital,KS00123,8509 University Way,Overland Park,KS,71299,Overland Park County,(396) 276-3848,Critical Access Hospital,Proprietary,Yes,4,Yes,Below the national average,Above the national average,Above the national average,Below the national average,Above the national average,Above the national average
Mount Margaret Memorial Hospital,KS00124,6439 Church Way,Wichita,KS,24584,Wichita County,(849) 937-1351,Rehabilitation Hospital,Proprietary,Yes,4,Yes,Same as the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Above the national average
Salina Veterans Hospital,KS00125,1901 Healthcare Way,Salina,KS,62023,Salina County,(655) 832-3015,Long-Term Care Hospital,Voluntary non-profit - Church,No,5,Yes,Same as the national average,Below the national average,Below the national average,Above the national average,Below the national average,Above the national average
Kansas General Hospital,KS00126,9279 Third St,Topeka,KS,19538,Topeka County,(379) 773-4868,Rehabilitation Hospital,Government - Federal,Yes,5,Yes,Above the national average,Above the national average,Below the national average,Above the national average,Below the national average,Above the national average
Regional Kevin University Hospital,KS00127,2009 Healthcare Ave,Kansas City,KS,85400,Kansas City County,(496) 668-2174,Rehabilitation Hospital,Proprietary,Yes,Not Available,Yes,Above the national average,Above the national average,Above the national average,Same as the national average,Below the national average,Above the national average
St. Jennifer County Hospital,KS00128,4609 Church St,Overland Park,KS,21988,Overland Park County,(491) 759-6092,Acute Care Hospital,Government - State,Yes,5,No,Above the national average,Same as the national average,Below the national average,Above the national average,Above the national average,Same as the national average
General Kevin General Hospital,KS00129,3953 First Way,Topeka,KS,37593,Topeka County,(278) 599-2923,Rehabilitation Hospital,Proprietary,Yes,5,No,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average
General Christopher Regional Medical Center,KS00130,8115 Third Ave,Shawnee,KS,63625,Shawnee County,(935) 479-1590,Long-Term Care Hospital,Government - State,No,3,Yes,Same as the national average,Below the national average,Above the national average,Below the national average,Same as the national average,Below the national average
Utah University Hospital,UT00001,9482 Healthcare Ave,St. George,UT,80650,St. George County,(258) 218-5061,Long-Term Care Hospital,Government - Local,Yes,5,Yes,Same as the national average,Above the national average,Below the national average,Above the national average,Above the national average,Below the national average
Mount Timothy Hospital,UT00002,3558 Hospital Dr,Orem,UT,96733,Orem County,(504) 353-3157,Children's Hospital,Voluntary non-profit - Other,Yes,4,No,Same as the national average,Above the national average,Same as the national average,Below the national average,Same as the national average,Below the national average
Mount Thomas Healthcare,UT00003,319 Medical Blvd,West Jordan,UT,37629,West Jordan County,(367) 674-5451,Psychiatric Hospital,Voluntary non-profit - Church,Yes,3,No,Below the national average,Same as the national average,Above the national average,Above the national average,Same as the national average,Above the national average
Taylorsville Hospital,UT00004,297 Medical St,Taylorsville,UT,88112,Taylorsville County,(837) 802-3021,Acute Care Hospital,Proprietary,No,3,Yes,Below the national average,Above the national average,Below the national average,Below the national average,Above the national average,Same as the national average
Orem Memorial Hospital,UT00005,9309 College Ave,Orem,UT,38670,Orem County,(969) 703-3810,Children's Hospital,Voluntary non-profit - Church,Yes,2,Yes,Above the national average,Same as the national average,Below the national average,Above the national average,Below the national average,Below the national average
Mount Michelle Memorial Hospital,UT00006,8403 University St,Taylorsville,UT,21051,Taylorsville County,(941) 633-3798,Rehabilitation Hospital,Government - State,Yes,4,Yes,Same as the national average,Below the national average,Same as the national average,Below the national average,Below the national average,Below the national average
Regional Karen General Hospital,UT00007,1628 University Blvd,St. George,UT,77220,St. George County,(997) 268-5026,Psychiatric Hospital,Government - Federal,Yes,3,Yes,Above the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Same as the national average
Utah Regional Medical Center,UT00008,9119 Third St,Orem,UT,56404,Orem County,(785) 989-5795,Rehabilitation Hospital,Voluntary non-profit - Other,Yes,Not Available,No,Below the national average,Below the national average,Below the national average,Below the national average,Below the national average,Above the national average
Memorial Kenneth Community Hospital,UT00009,4343 College St,West Valley City,UT,95301,West Valley City County,(435) 834-8899,Rehabilitation Hospital,Voluntary non-profit - Other,Yes,Not Available,No,Below the national average,Above the national average,Same as the national average,Same as the national average,Above the national average,Below the national average
Regional Jason Hospital,UT00010,5262 Medical Dr,West Jordan,UT,70306,West Jordan County,(393) 664-2134,Long-Term Care Hospital,Proprietary,No,3,Yes,Below the national average,Above the national average,Below the national average,Above the national average,Same as the national average,Same as the national average
Utah University Hospital,UT00011,505 Third Ave,St. George,UT,19446,St. George County,(467) 251-2274,Rehabilitation Hospital,Voluntary non-profit - Church,Yes,3,Yes,Above the national average,Below the national average,Above the national average,Same as the national average,Below the national average,Below the national average
Utah Community Hospital,UT00012,4668 Lincoln St,Layton,UT,91619,Layton County,(298) 394-8566,Children's Hospital,Proprietary,No,4,Yes,Above the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Below the national average
Regional William County Hospital,UT00013,7501 Center Blvd,West Valley City,UT,54572,West Valley City County,(516) 767-7855,Acute Care Hospital,Government - State,Yes,Not Available,Yes,Above the national average,Below the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average
Memorial Richard City Hospital,UT00014,1629 Main Ave,Layton,UT,94355,Layton County,(584) 959-6344,Acute Care Hospital,Voluntary non-profit - Other,Yes,Not Available,Yes,Below the national average,Below the national average,Above the national average,Below the national average,Below the national average,Below the national average
St. George Regional Medical Center,UT00015,2174 Oak Blvd,St. George,UT,59412,St. George County,(387) 866-1428,Long-Term Care Hospital,Voluntary non-profit - Private,Yes,1,Yes,Same as the national average,Below the national average,Above the national average,Below the national average,Above the national average,Same as the national average
Utah Community Hospital,UT00016,8243 Market Dr,West Jordan,UT,75042,West Jordan County,(296) 841-9699,Acute Care Hospital,Government - State,Yes,2,Yes,Above the national average,Same as the national average,Below the national average,Below the national average,Above the national average,Below the national average
Utah Community Hospital,UT00017,7866 University Way,St. George,UT,88347,St. George County,(368) 785-5878,Acute Care Hospital,Government - State,Yes,1,Yes,Below the national average,Above the national average,Same as the national average,Below the national average,Above the national average,Below the national average
Mount Donald Regional Medical Center,UT00018,8776 Oak Dr,West Valley City,UT,68436,West Valley City County,(221) 792-1793,Critical Access Hospital,Proprietary,Yes,1,No,Same as the national average,Same as the national average,Above the national average,Above the national average,Same as the national average,Below the national average
Ogden Healthcare,UT00019,7880 Oak St,Ogden,UT,53281,Ogden County,(665) 773-9038,Critical Access Hospital,Proprietary,Yes,2,Yes,Same as the national average,Above the national average,Below the national average,Same as the national average,Below the national average,Below the national average
Sandy County Hospital,UT00020,9501 Hospital Ave,Sandy,UT,58592,Sandy County,(909) 906-6565,Acute Care Hospital,Voluntary non-profit - Church,Yes,5,Yes,Above the national average,Below the national average,Above the national average,Same as the national average,Below the national average,Above the national average
Utah Community Hospital,UT00021,9677 Park Dr,Ogden,UT,92299,Ogden County,(950) 314-7710,Long-Term Care Hospital,Voluntary non-profit - Private,No,1,No,Below the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average
General Thomas Clinic,UT00022,1669 Market St,Salt Lake City,UT,38981,Salt Lake City County,(735) 810-3792,Long-Term Care Hospital,Voluntary non-profit - Church,Yes,Not Available,Yes,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Below the national average,Below the national average
Utah Health Center,UT00023,4966 First Ave,Orem,UT,30663,Orem County,(495) 843-4091,Acute Care Hospital,Government - State,No,Not Available,Yes,Above the national average,Below the national average,Below the national average,Below the national average,Below the national average,Above the national average
St. Lisa Clinic,UT00024,7657 Lincoln Dr,West Valley City,UT,24851,West Valley City County,(246) 539-5581,Rehabilitation Hospital,Proprietary,Yes,2,Yes,Above the national average,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average
Utah Medical Center,UT00025,2336 Washington Blvd,West Valley City,UT,10626,West Valley City County,(818) 783-6668,Psychiatric Hospital,Government - State,No,5,Yes,Above the national average,Above the national average,Below the national average,Above the national average,Below the national average,Below the national average
Layton Clinic,UT00026,486 University St,Layton,UT,37303,Layton County,(618) 457-6672,Critical Access Hospital,Government - Federal,Yes,3,No,Same as the national average,Same as the national average,Same as the national average,Above the national average,Above the national average,Above the national average
Utah Veterans Hospital,UT00027,4027 Oak Blvd,Layton,UT,73880,Layton County,(941) 891-4749,Long-Term Care Hospital,Proprietary,Yes,5,Yes,Above the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,Below the national average
Salt Lake City Regional Hospital,UT00028,8117 Main Way,Salt Lake City,UT,15669,Salt Lake City County,(741) 808-3748,Psychiatric Hospital,Voluntary non-profit - Church,No,Not Available,Yes,Same as the national average,Above the national average,Below the national average,Same as the national average,Below the national average,Below the national average
Salt Lake City Memorial Hospital,UT00029,9508 Second Ave,Salt Lake City,UT,68912,Salt Lake City County,(474) 577-4443,Psychiatric Hospital,Voluntary non-profit - Private,No,1,Yes,Above the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Same as the national average
Utah Regional Hospital,UT00030,6440 Healthcare Way,Provo,UT,84611,Provo County,(653) 912-2746,Critical Access Hospital,Voluntary non-profit - Church,Yes,3,No,Above the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average,Below the national average
General Paul Regional Medical Center,UT00031,6848 College Blvd,Salt Lake City,UT,67993,Salt Lake City County,(800) 223-5883,Critical Access Hospital,Proprietary,Yes,3,Yes,Above the national average,Above the national average,Same as the national average,Above the national average,Above the national average,Above the national average
Utah Regional Medical Center,UT00032,6585 Lincoln Ave,Orem,UT,93279,Orem County,(889) 241-6829,Long-Term Care Hospital,Government - State,No,4,Yes,Same as the national average,Above the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average
St. George Healthcare,UT00033,310 Washington Way,St. George,UT,87441,St. George County,(919) 683-4649,Long-Term Care Hospital,Voluntary non-profit - Private,Yes,4,No,Above the national average,Below the national average,Same as the national average,Same as the national average,Above the national average,Below the national average
West Valley City Veterans Hospital,UT00034,4512 Park Way,West Valley City,UT,98032,West Valley City County,(245) 849-3468,Rehabilitation Hospital,Voluntary non-profit - Private,Yes,2,No,Above the national average,Same as the national average,Below the national average,Same as the national average,Below the national average,Above the national average
West Jordan Hospital,UT00035,1189 Hospital Blvd,West Jordan,UT,23976,West Jordan County,(618) 512-9063,Critical Access Hospital,Voluntary non-profit - Private,Yes,3,No,Below the national average,Above the national average,Above the national average,Above the national average,Below the national average,Same as the national average
West Valley City Healthcare,UT00036,3011 Maple Blvd,West Valley City,UT,70986,West Valley City County,(670) 970-4838,Children's Hospital,Voluntary non-profit - Private,Yes,3,Yes,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Below the national average,Above the national average
General Emily City Hospital,UT00037,9444 Healthcare Blvd,West Valley City,UT,41971,West Valley City County,(732) 374-1751,Long-Term Care Hospital,Voluntary non-profit - Other,Yes,5,Yes,Below the national average,Below the national average,Above the national average,Same as the national average,Below the national average,Below the national average
General Kenneth Regional Hospital,UT00038,7813 University St,Salt Lake City,UT,44195,Salt Lake City County,(834) 518-3305,Rehabilitation Hospital,Voluntary non-profit - Private,Yes,2,Yes,Above the national average,Same as the national average,Same as the national average,Below the national average,Below the national average,Same as the national average
St. George Health Center,UT00039,8384 Park Ave,St. George,UT,96083,St. George County,(555) 388-2934,Psychiatric Hospital,Government - Federal,Yes,5,Yes,Same as the national average,Below the national average,Below the national average,Same as the national average,Above the national average,Above the national average
Orem University Hospital,UT00040,3694 Oak Way,Orem,UT,74028,Orem County,(865) 444-5134,Psychiatric Hospital,Government - Federal,Yes,Not Available,Yes,Same as the national average,Below the national average,Below the national average,Above the national average,Same as the national average,Same as the national average
Memorial Linda Regional Medical Center,UT00041,2071 Maple Dr,West Jordan,UT,89469,West Jordan County,(238) 527-4279,Psychiatric Hospital,Government - State,Yes,3,Yes,Below the national average,Above the national average,Above the national average,Same as the national average,Above the national average,Above the national average
Utah General Hospital,UT00042,3964 Market Blvd,West Jordan,UT,59011,West Jordan County,(708) 896-2652,Acute Care Hospital,Voluntary non-profit - Other,Yes,4,No,Same as the national average,Above the national average,Below the national average,Above the national average,Same as the national average,Below the national average
St. Paul City Hospital,UT00043,4715 Hospital Dr,Provo,UT,73288,Provo County,(870) 400-8560,Psychiatric Hospital,Voluntary non-profit - Private,Yes,4,Yes,Below the national average,Same as the national average,Same as the national average,Below the national average,Above the national average,Above the national average
Sandy Children's Hospital,UT00044,1304 First Way,Sandy,UT,56858,Sandy County,(440) 524-5022,Psychiatric Hospital,Voluntary non-profit - Church,Yes,4,No,Above the national average,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average
Sandy Health Center,UT00045,7164 Second Way,Sandy,UT,11453,Sandy County,(815) 507-6752,Long-Term Care Hospital,Voluntary non-profit - Church,Yes,4,Yes,Below the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Above the national average
Mount Susan University Hospital,UT00046,5528 Maple Ave,St. George,UT,21446,St. George County,(843) 428-1682,Acute Care Hospital,Government - State,Yes,3,Yes,Below the national average,Above the national average,Same as the national average,Below the national average,Below the national average,Same as the national average
General Jessica Clinic,UT00047,8819 Church Dr,Taylorsville,UT,46360,Taylorsville County,(868) 975-8693,Children's Hospital,Government - Local,Yes,3,Yes,Below the national average,Same as the national average,Above the national average,Above the national average,Same as the national average,Above the national average
St. David Veterans Hospital,UT00048,8164 College Blvd,Orem,UT,70568,Orem County,(541) 747-5203,Long-Term Care Hospital,Voluntary non-profit - Private,Yes,5,Yes,Below the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average
Memorial Thomas Children's Hospital,UT00049,8297 Church Ave,West Valley City,UT,77270,West Valley City County,(225) 408-3839,Critical Access Hospital,Voluntary non-profit - Private,No,Not Available,No,Above the national average,Same as the national average,Above the national average,Same as the national average,Below the national average,Same as the national average
Utah Healthcare,UT00050,6266 Oak St,Provo,UT,55881,Provo County,(223) 623-2690,Critical Access Hospital,Government - State,Yes,4,Yes,Same as the national average,Same as the national average,Below the national average,Above the national average,Same as the national average,Same as the national average
Nevada Health Center,NV00001,8348 Center Blvd,Reno,NV,37984,Reno County,(573) 279-2528,Acute Care Hospital,Voluntary non-profit - Private,Yes,2,Yes,Same as the national average,Above the national average,Same as the national average,Same as the national average,Above the national average,Below the national average
Nevada Veterans Hospital,NV00002,5920 Medical Way,Sparks,NV,68000,Sparks County,(254) 605-2922,Rehabilitation Hospital,Voluntary non-profit - Church,Yes,1,Yes,Above the national average,Same as the national average,Below the national average,Same as the national average,Below the national average,Below the national average
Nevada University Hospital,NV00003,5664 Maple Way,Boulder City,NV,15514,Boulder City County,(718) 662-6633,Psychiatric Hospital,Proprietary,Yes,3,No,Below the national average,Above the national average,Above the national average,Same as the national average,Below the national average,Above the national average
Mount David County Hospital,NV00004,971 Broadway Way,North Las Vegas,NV,52879,North Las Vegas County,(563) 230-3038,Rehabilitation Hospital,Voluntary non-profit - Other,Yes,4,Yes,Above the national average,Above the national average,Below the national average,Below the national average,Below the national average,Below the national average
Memorial Mary Veterans Hospital,NV00005,3278 Church Dr,Carson City,NV,27740,Carson City County,(334) 225-9834,Rehabilitation Hospital,Voluntary non-profit - Private,Yes,Not Available,No,Below the national average,Below the national average,Above the national average,Above the national average,Above the national average,Below the national average
Reno City Hospital,NV00006,6407 Lincoln Dr,Reno,NV,74701,Reno County,(777) 779-5198,Acute Care Hospital,Voluntary non-profit - Other,Yes,4,Yes,Above the national average,Above the national average,Above the national average,Below the national average,Below the national average,Above the national average
Nevada Memorial Hospital,NV00007,395 College Ave,North Las Vegas,NV,92981,North Las Vegas County,(878) 380-5567,Acute Care Hospital,Government - Local,No,1,No,Below the national average,Below the national average,Same as the national average,Above the national average,Below the national average,Below the national average
Memorial Steven Medical Center,NV00008,3589 Second Ave,Mesquite,NV,87393,Mesquite County,(912) 355-1011,Children's Hospital,Government - Local,Yes,4,Yes,Below the national average,Below the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average
Nevada Clinic,NV00009,2373 Maple Dr,Carson City,NV,90149,Carson City County,(990) 420-3195,Acute Care Hospital,Government - Local,Yes,3,Yes,Same as the national average,Same as the national average,Below the national average,Same as the national average,Below the national average,Above the national average
Mount Karen Children's Hospital,NV00010,3839 Lincoln Dr,Sparks,NV,67886,Sparks County,(471) 303-7676,Psychiatric Hospital,Voluntary non-profit - Private,No,1,Yes,Same as the national average,Above the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average
Nevada County Hospital,NV00011,1155 Broadway Way,North Las Vegas,NV,93513,North Las Vegas County,(603) 677-8208,Acute Care Hospital,Voluntary non-profit - Other,Yes,2,Yes,Below the national average,Same as the national average,Below the national average,Same as the national average,Above the national average,Same as the national average
Nevada University Hospital,NV00012,2158 Second Way,Fernley,NV,51391,Fernley County,(212) 378-2889,Rehabilitation Hospital,Voluntary non-profit - Other,Yes,4,No,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average
Regional Mark Veterans Hospital,NV00013,5517 Broadway Ave,Henderson,NV,76273,Henderson County,(681) 597-3029,Acute Care Hospital,Voluntary non-profit - Other,Yes,4,Yes,Below the national average,Same as the national average,Above the national average,Below the national average,Same as the national average,Same as the national average
St. Ronald Healthcare,NV00014,4662 Maple Dr,Sparks,NV,53678,Sparks County,(344) 893-8167,Acute Care Hospital,Voluntary non-profit - Private,Yes,2,Yes,Above the national average,Same as the national average,Above the national average,Above the national average,Below the national average,Above the national average
Nevada County Hospital,NV00015,6848 Maple Dr,Elko,NV,62354,Elko County,(486) 342-4847,Long-Term Care Hospital,Government - Federal,Yes,1,Yes,Same as the national average,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average
Regional Donald Community Hospital,NV00016,3809 Lincoln St,Boulder City,NV,93952,Boulder City County,(406) 857-1804,Psychiatric Hospital,Government - Federal,Yes,5,Yes,Below the national average,Same as the national average,Same as the national average,Same as the national average,Below the national average,Below the national average
Reno Clinic,NV00017,8923 Main St,Reno,NV,58071,Reno County,(549) 496-3500,Acute Care Hospital,Government - Federal,Yes,4,Yes,Above the national average,Above the national average,Same as the national average,Above the national average,Below the national average,Above the national average
Carson City City Hospital,NV00018,5865 Oak Blvd,Carson City,NV,34861,Carson City County,(233) 907-1666,Children's Hospital,Government - Federal,No,3,Yes,Same as the national average,Same as the national average,Above the national average,Same as the national average,Above the national average,Above the national average
Nevada Memorial Hospital,NV00019,9402 Broadway Way,Sparks,NV,55551,Sparks County,(860) 380-8699,Critical Access Hospital,Government - State,Yes,5,No,Same as the national average,Above the national average,Above the national average,Above the national average,Below the national average,Same as the national average
Nevada General Hospital,NV00020,100 Medical Ave,Henderson,NV,98218,Henderson County,(807) 706-3663,Long-Term Care Hospital,Voluntary non-profit - Church,Yes,5,Yes,Below the national average,Below the national average,Above the national average,Above the national average,Above the national average,Above the national average
